Series Name;Series Code;Country Name;Country Code;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
School enrollment, secondary (% gross);SE.SEC.ENRR;Cuba;CUB;92,19299316;92,74002838;91,18412781;88,08187866;83,07038116;79,0626297;82,66752625;82,2095108;..;79,64533234;81,88301086;84,36824799;88,5996933;91,78713226;91,12374115;92,37484741;93,15399933;93,1459198;93,16905212;92,1000824;92,40794094;92,22151843;90,92685663;91,33100394;95,98679902;96,09290991;97,80056411;98,89163814;99,58059265;100,4678099;101,4879906
School enrollment, secondary (% gross);SE.SEC.ENRR;Curacao;CUW;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;86,30663897;..;..;..;..;..;..;129,470257
School enrollment, secondary (% gross);SE.SEC.ENRR;Cyprus;CYP;..;..;..;..;..;..;..;..;..;..;..;93,44506073;96,91520691;97,55622864;96,29353333;94,00523376;93,14047241;92,91394043;92,36916351;91,92617798;91,44080353;92,82562256;95,29985046;97,97264099;97,83583832;98,95780945;98,83094025;99,51335907;99,42658997;101,0174713;101,9358368
School enrollment, secondary (% gross);SE.SEC.ENRR;Czechia;CZE;..;..;..;..;..;..;..;..;..;..;..;94,58513641;95,28974915;96,04711151;95,47457123;96,04924011;97,4597168;97,71527863;98,08132935;97,90630341;98,65441895;99,44673157;99,77496338;106,8750687;106,1185074;104,8105164;103,0150833;102,2046967;101,5148926;100,2155685;99,32926178
School enrollment, secondary (% gross);SE.SEC.ENRR;Denmark;DNK;..;..;..;..;..;..;..;..;..;..;..;129,8765106;125,1056671;124,6194687;121,3480911;122,0801468;118,1734772;117,9941406;117,2729721;117,1318893;118,9440536;121,8165207;124,5771866;131,6923065;132,451355;133,7954712;131,4412994;130,3244324;129,8495636;129,3111267;129,9951935
School enrollment, secondary (% gross);SE.SEC.ENRR;Djibouti;DJI;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
School enrollment, secondary (% gross);SE.SEC.ENRR;Dominica;DMA;77,90376282;..;..;..;..;..;..;..;..;101,5968094;106,8920898;109,1175232;112,2250519;117,7977676;114,8188019;114,3469009;113,309082;112,8185806;110,8600006;111,7929611;108,6558533;109,1778488;102,7834008;..;93,3871994;95,94548035;..;..;..;105,625543;105,1815796
School enrollment, secondary (% gross);SE.SEC.ENRR;Dominican Republic;DOM;..;..;..;..;41,04246902;42,80022049;..;..;53,2979393;55,08295059;59,44007874;..;67,81627655;..;68,88931274;70,52304077;..;79,92154694;78,75715637;80,71199799;77,97182754;77,42722002;77,98610639;79,1714978;80,11454425;79,93788964;80,09447287;79,94068011;80,21593;81,85623604;80,04441192
School enrollment, secondary (% gross);SE.SEC.ENRR;Ecuador;ECU;..;..;..;..;..;..;..;..;..;..;55,96126938;56,28702164;57,24361038;56,81657028;57,40961075;59,8716011;61,9531517;63,44718933;..;85,97103882;91,55838776;95,69297028;98,55480194;100,6592102;102,5903397;100,7917862;98,08037649;96,16376518;94,97481009;93,83716371;93,98494913
School enrollment, secondary (% gross);SE.SEC.ENRR;Egypt, Arab Rep.;EGY;68,71743011;69,06115723;64,19284821;65,01557159;70,19332123;68,16459656;66,10498047;70,2326889;..;76,09236145;77,83394623;79,38973999;78,81741333;78,50660706;77,78417969;..;..;..;..;63,21549988;64,72963715;72,54875946;73,01824951;73,89544662;73,37234211;..;75,75240867;76,43376531;76,98161894;77,90939788;79,65447501
